ref_response_question,num_samples
would you like to proceed with a reservation?,1
would you like me to make you a reservation there or do you need more information?,1
would you like me to reserve a room there for you?,1
would you like to make a reservation there today?,1
would you like me to reserve a room for you there?,1
would you like me to reserve a room for you there or can i answer any other questions??,1
would you like me to reserve a room for you or can i answer another question?,1
would you like me to recommend another place?,1
would you like me to pull up some other places?,1
would you like me to pull up some other places or would you like to know more about the a and b guest house?,1
would you like to make a reservation to dine there?,1
would you like me to make you a reservation for you?,1
would you like me to reserve a table at the restaurant for you?,1
would you like me to make you a reservation for you at hk fusion?,1
would you like to make a reservation to eat there?,1
would you like me to make the booking?,1
would you like me to make that reservation for you?,1
would you like me to make sure you can have a table on the skyline side?,1
would you like me to make reservations?,1
would you like to make a reservation today?,1
would you like me to make reservations for you or would you like more information?,1
would you like me to make reservation at the restaurant?,1
would you like me to reserve a room?,1
would you like me to reserve a table for you at nandos?,1
would you like me to search for a place with better ratings for service?,1
would you like to make a reservation or do you need to know anything else?,1
would you like me to search for a more attractive option for you?,1
would you like to make a reservation for you?,1
would you like me to search for a more affordable option?,1
would you like me to search for a different restaurant option?,1
would you like me to search for a different indian option for you?,1
would you like to make a reservation or do you need more information?,1
would you like me to search for a better hotel option?,1
would you like me to search for a better decorated option for you?,1
would you like to make a reservation or do you need to know anything else ?,1
would you like to make a reservation or get some more information?,1
would you like me to reserve a table for you there?,1
would you like to make a reservation or look elsewhere?,1
would you like me to reserve you a table now or do you have other questions?,1
would you like me to reserve you a table now or do you have futher questions?,1
would you like me to reserve you a room?,1
would you like me to reserve one for you?,1
would you like me to reserve a table or do you have any additional questions?,1
would you like me to reserve a table indoors for you?,1
would you like me to reserve a table for your party?,1
would you like to make a reservation there or do you need more information?,1
would you like to make a table reservation or try someplace else?,1
would you like me to make a reservation there?,1
would you like to know more about the lensfield or would you like me to check into other places?,1
would you like me to look for something else fo you?,1
would you like to me to find a comparable place that does?,1
would you like me to look into some other restaurants?,1
would you like to me to help you find a better option?,1
would you like me to look into it?,1
would you like me to look into it a bit further?,1
would you like me to look into it a bit further to get more info on the food portions?,1
would you like to more information?,1
would you like me to look into another place with better ratings?,1
would you like me to look for something else?,1
would you like to now more about rosa's?,1
would you like to make reservation?,1
would you like me to look for another spot for you?,1
would you like me to look for another similar place?,1
would you like me to look for another restaurant option for you?,1
would you like to onow anything else?,1
would you like to proceed with a hotel booking at this time?,1
would you like to proceed with a reservation at this time?,1
would you like me to look for another place with better reviews?,1
would you like me to look for another place with better reviews in the same general area?,1
would you like me to look for another place with better prices?,1
would you like me to look into that for you?,1
would you like to me reserve a table for you?,1
would you like me to look into the portion size a little further?,1
would you like to me find another place or would you like to make a reservation here?,1
would you like me to make a reservation for you there?,1
would you like me to make a reservation for you now?,1
would you like me to make a reservation for you at royal standard?,1
would you like me to make a reservation for you at rosa's bed and breakfast?,1
would you like me to make a reservation for you at darrys cookhouse?,1
would you like to make reservations there?,1
would you like me to make a reservation for you at bedouin?,1
would you like me to make a reservation for you at ashley hotel?,1
would you like me to make a reservation for you and ask them to book a table with a good view?,1
would you like me to make a reservation at carolina bed and breakfast for you?,1
would you like me to make a reservation at allenbell for you?,1
would you like me to make a reservation and ask them to ensure you get a great view from your table?,1
would you like me to make a reservation and ask them to ensure that you have a table with a nice view?,1
would you like to make to a reservation?,1
would you like to make your reservation now?,1
would you like to me check on some other places?,1
would you like me to look more into this for you?,1
would you like me to look into this for better information?,1
would you like me to look into the portions a little further?,1
would you like me to search for a place that has no alcohol at all?,1
would you like me to search for a restaurant that would have more drink options?,1
would you like to look at other dining options?,1
would you like to look into some other places with better staff reviews?,1
would you like to look for another dining option?,1
would you like to look for another hotel?,1
would you like more information or another place?,1
would you like more information on this restaurant?,1
would you like more information on them?,1
would you like to look for other hotel options?,1
would you like to look for other options?,1
would you like more information on their menu?,1
would you like to look for other restaurants in the area?,1
would you like more information on the establishment?,1
would you like more information or look for another place?,1
would you like more information on that?,1
would you like to look into some other places?,1
would you like more information on arbury lodge guesthouse?,1
would you like more information on anything else?,1
would you like more information on any of the restaurants?,1
would you like more information before making a booking?,1
would you like more information about those two restaurants?,1
would you like to look some place else?,1
would you like to make a booking now?,1
would you like more information or are you ready to book it now?,1
would you like more information or make a reservation?,1
would you like me to search for additional information?,1
would you like some more information on eraina?,1
would you like some place else?,1
would you like some other suggestions?,1
would you like some other information on the restaurant?,1
would you like to look at some other nearby options?,1
would you like to look at some other places or find out more about the carolina?,1
would you like some more information on the restaurant?,1
would you like some more information on la tasca?,1
would you like some more information on it?,1
would you like some more information on ian hong house?,1
would you like some more information on any of the restaurants?,1
would you like to look at tandoori palace instead?,1
would you like some more information about the restaurant?,1
would you like to look at some other places with better reviews?,1
would you like some more information about hotpot?,1
would you like some more information about either of them?,1
would you like some more information about caffe uno?,1
would you like some information on hotels with larger rooms?,1
would you like more infromation?,1
would you like more information or would you like to book a room?,1
would you like to look at some other restaurants?,1
would you like more information about them or have me look elsewhere for a different place?,1
would you like more information about the ugly duckling or any of the restaurants mentioned?,1
would you like a reservation still?,1
would you like to make a reservation at the restaurant?,1
would you like me to try a different hotel?,1
would you like to make a reservation at one of them?,1
would you like me to start a booking?,1
would you like me to see what other places are available?,1
would you like me to see if we can reserve a window seat for you?,1
would you like me to see if they have some of their larger rooms available right now?,1
would you like me to see if they have one of their large rooms available?,1
would you like me to see if they have larger rooms available?,1
would you like me to see if they have a table available?,1
would you like to make a reservation at this location?,1
would you like to make a booking or do you have other questions?,1
would you like me to see if they can provide a mattress for your needs?,1
would you like me to see if there's a larger room available?,1
would you like me to see if there's a large room available?,1
would you like me to see if there is a larger room available?,1
would you like me to see if one of their larger rooms is available?,1
would you like to make a reservation for a table?,1
would you like me to search for more reviews?,1
would you like me to search for an option with better value?,1
would you like me to search for an option with better internet?,1
would you like me to try another place or give you more information on the grafton?,1
would you like to make a reservation at one of the establishments?,1
would you like me to try somewhere else?,1
"would you like me to try to find another, less expensive restaurant?",1
would you like more information about the place?,1
would you like more information about the place or would you like me to look for another one?,1
would you like more information about the lucky star?,1
would you like to make a booking there?,1
would you like more information about the hotel?,1
would you like more information about the good luck chinese food takeaway?,1
would you like more information about the dojo noodle bar?,1
would you like more information about nandos?,1
would you like more information about meghna?,1
would you like more information about la margherita?,1
would you like more information about hakka?,1
would you like more information about graffiti?,1
would you like more information about either place?,1
would you like to make a reservation anyway?,1
would you like to make a reservation at eraina?,1
would you like more information about either of these restaurants?,1
would you like more information about chiquito?,1
would you like more information ?,1
would you like more info or for me to help book it?,1
would you like a reservation there instead?,1
 and very peaceful  would you like to know more about them?,1
would you like a reservation or should i look for places with outdoor dining as an option?,1
do you have any additional questions?,1
do you have any more questions for me today?,1
do you have any more questions about wagamama?,1
do you have any more questions about the property?,1
do you have any more questions about nandos?,1
do you have any more questions about golden wok?,1
do you have any more questions about dojo noodle bar?,1
do you have any more questions about curry prince?,1
do you have any further questions about the restaurant?,1
do you have any further questions about the property?,1
do you have any further questions about the huntingdon marriott hotel?,1
do you have any further questions about ask?,1
do you have any additional questions or should i book it for you?,1
do you have any other questions about the missing sock?,1
do you have any additional questions about their menu?,1
do you have any additional questions about the gonville?,1
do you have any additional questions about the acorn guest house?,1
do you have any additional questions about royal spice?,1
do you have another questions today?,1
do you any other questions about the restaurant?,1
do have any other questions that i can help you with?,1
do either of those sound good to you?,1
did you want to try a shorter stay?,1
did you want to book a room?,1
did you want me to get information on pizza express and pizza hut as well?,1
do you have any more questions for me?,1
do you have any more questions i can answer about the restaurant?,1
do you have any more questions or should i book a room?,1
do you have any more questions today?,1
do you have any other questions about the hotel that i can help you with?,1
do you have any other questions about the gardenia?,1
do you have any other questions about the cambridge chop house?,1
do you have any other questions about the cambridge belfry?,1
do you have any other questions about the b&b?,1
do you have any other questions about saigon city?,1
do you have any other questions about rosa's before i book it?,1
do you have any other questions about meghna?,1
do you have any other questions about kymmoy that i can answer for you?,1
do you have any other questions about gonville?,1
do you have any other questions about gonville hotel?,1
do you have any other questions about fitzbillies restaurant?,1
do you have any other questions about express by holiday inn cambridge?,1
do you have any other questions about eraina?,1
do you have any other questions about don paquale?,1
do you have any other questions about dojo?,1
do you have any other questions about dojo noodle bar?,1
do you have any other questions about da vinci pizzeria?,1
do you have any other questions about cambridge lodge?,1
do you have any other questions about bangkok city?,1
do you have any other questions about ashley hotel?,1
do you have any other questions about alpha-milton guest house?,1
do you have any other hotels you'd like me to look up?,1
did you want me to check availability on a different day or time?,1
did you want information on anything else about them?,1
did you still want to keep your reservation?,1
can i help you with anything else or would you like me to continue to book the room?,1
can i help you with anything else like book a room?,1
can i help you with anything else for your trip today?,1
can i help you with anymore information?,1
can i help you with any other information today?,1
can i help you with any other information about restaurant two two?,1
can i help you with any other information about hakka?,1
can i help you with any more information on anything else?,1
can i help you with any additional information?,1
can i help you reserve a table or do you have more questions?,1
can i help you make a reservation or can i give you more information first?,1
can i help you make a booking?,1
can i help you book the gonville hotel?,1
can i help you book a table at curry garden?,1
can i help you book a room there?,1
can i help with making a reservation for you?,1
can i help with any other information?,1
can i help answer anything else?,1
can i get you any more information?,1
can i get you any additional information about the lodge?,1
can i find any other information for you?,1
can i do anything else for you?,1
can i check on room availability for your travel dates?,1
can i check on availability for you?,1
can i help you with anything else or can i book you a room?,1
can i help you with anything else today or is that all you need?,1
did you need any more information?,1
can i help you with anything else tonight?,1
did this help you at all?,1
could you tell me when you would like to go?,1
could i help you with anything else?,1
confusing huh?,1
can you tell me some information about the train you need?,1
can you help with anything else today?,1
can we book?,1
"can i tell you anything else about the guest house, or check availability for you?",1
can i tell you anything else about it or can i go ahead and book it for you?,1
can i tell you anything else about el sheddai?,1
can i tell you anything else about el shaddai?,1
can i search for something better for you?,1
can i reserve the outdoor dining area so that you can have a perfect view while eating?,1
can i provide you more information or book it for you?,1
can i provide any other information for you?,1
can i provide any more information for you about this location?,1
can i proceed and make a reservation for you?,1
can i make a reservation for you?,1
can i make a booking for you?,1
can i look into another location for you?,1
can i let you know anything else about the hotel?,1
"can i help you with anything else, or book a table for you?",1
"can i help you with anything else, or answer other questions?",1
do you have any other questions about the menu at meghna?,1
do you have any other questions about the place?,1
would you like a reservation for the outdoor dining area?,1
do you want me to book a room for you?,1
do you want me to make you a reservation?,1
do you want me to make a reservation still?,1
do you want me to make a reservation for you tonight or would you like to look at alternatives?,1
do you want me to look for another option?,1
do you want me to go ahead and book it now?,1
do you want me to go ahead and book a room for you?,1
do you want me to find out more information?,1
do you want me to double check for you?,1
do you want me to check availability there?,1
do you want me to book you a room?,1
do you want me to book a room there?,1
do you want anymore information?,1
do you have any other questions about the rooms?,1
do you want any more information about them?,1
do you want a table there?,1
do you want a room?,1
do you want a reservation there today?,1
do you want a reservation still?,1
do you want a reservation some place else?,1
do you want a reservation now?,1
do you want a reservation anyway?,1
do you still want your reservation?,1
do you still think limehouse would meet your needs?,1
do you need to know anything else or would you like a reservation?,1
do you want me to reserve a table for you?,1
do you want me to search for another option?,1
do you want me to see if i can find a time that works?,1
do you want that or do you want more information first?,1
do you want to know anything else or is that all?,1
do you want to know anything else about the place?,1
do you want to know anything else about the hotel?,1
do you want to know anything else about the establishment?,1
do you want to know any other information or would you like a table?,1
do you want to know any more information about the acorn guest house?,1
do you want to go ahead with the booking?,1
do you want to go ahead with making a reservation?,1
do you want to get a reservation or find more locations?,1
do you want to explore some other places?,1
do you want to explore other locations?,1
do you want to dine there?,1
do you want to continue with a booking?,1
do you want to book it anyways?,1
do you want to book it anyway?,1
do you want to book a table there or do you have further questions?,1
do you want to book a table there or are you looking for more info?,1
do you want to book a stay?,1
do you want to book a room there or look at some other options?,1
do you want to book a room there or do you still have more questions?,1
do you want to book a room somewhere else?,1
do you want to book a reservation now?,1
do you want the reservation?,1
do you need to know anything else or will you want to book a room?,1
do you need to know anything else or do you want to make a reservation ?,1
do you need to know anything else or do you need any more from me?,1
do you have any other questions to ask about warkworth house and its amenities?,1
do you have any other questions that i can help you with today?,1
do you have any other questions that i can help you with at this time?,1
do you have any other questions that i can answer for you?,1
do you have any other questions that i can answer for you today?,1
do you have any other questions that i can answer for you at this time?,1
do you have any other questions regarding your reservation at kymmoy?,1
do you have any other questions regarding menu options?,1
do you have any other questions or would you like to make a reservation?,1
do you have any other questions or would you like to book a room?,1
do you have any other questions or would you like me to book a table?,1
do you have any other questions or should i book it?,1
do you have any other questions i can answer for you?,1
do you have any other questions i can answer for you about fitzbillies restaurant?,1
do you have any other questions for me or are you ready to make a booking?,1
do you have any other questions before you book?,1
do you have any other questions before i book a room for you?,1
do you have any other questions about your upcoming stay at the hotel?,1
do you have any other questions about your dining options?,1
do you have any other questions about wagamama?,1
do you have any other questions about this property?,1
do you have any other questions about this location or shall i book it?,1
do you have any other questions about this holiday inn?,1
do you have any other questions about their menu?,1
do you have any other questions that i can try to answer for you?,1
do you have any other questions to help decide?,1
do you need to know anything else before making a reservation?,1
do you have any other questions to help narrow down your choice?,1
do you need to know anything else about the hotel?,1
do you need to know anything else about it?,1
do you need more specifics?,1
do you need more information about them?,1
do you need more information about curry garden?,1
do you need me to search for additional information?,1
do you need any other info from me?,1
do you need any more information or would you like to make a reservation?,1
do you need any more information on any thing else?,1
do you need any more information about the hotel?,1
do you need any more information about it?,1
do you need any additional information?,1
do you need any additional information before booking?,1
do you need any additional information about the hotel?,1
do you need additional options or would you like to book a table?,1
do you need additional information or do you want to make a reservation?,1
do you have questions about any other items on the menu at la tasca?,1
do you have other questions i can answer?,1
do you have other questions about the university arms hotel that i can assist with?,1
do you have other questions about the restaurant?,1
do you have other questions about restaurant two two?,1
do you have further questions?,1
do you have anymore questions?,1
can i check on availability and book a table for you?,1
can i check availability for you?,1
can i book you any rooms?,1
are you interesting in making a reservation?,1
are you still interested or should i search for another location?,1
are you still interested or should i look for another option?,1
are you still interested or should i find something else?,1
are you still interested in the the copper kettle?,1
are you still interested in the gourmet burger kitchen?,1
are you still interested in staying there?,1
are you still interested in making a reservation?,1
are you still interested in booking a table?,1
are you still interested in a room?,1
are you still interested in a booking?,1
are you satisfied with the booking or should i check another hotel?,1
are you interested or should i find you something else?,1
can i book you a table?,1
are you interested or should i find another option?,1
are you interested in trying it?,1
are you interested in staying there or do you need more information?,1
are you interested in knowing anything else?,1
are you interested in knowing anything else or do you want a reservation?,1
are you interested in knowing anything else about the hotel?,1
are you interested in knowing any other information?,1
are you interested in getting a booking or do you have any other questions?,1
are you interested in changing your reservation?,1
are you interested in booking rooms for your party?,1
are you interested in booking or would you like another option?,1
are you still interested or should i search for something else?,1
are you still interested or would you like to look at something else?,1
"are you still interested, or should i choose another option?",1
"are you still interested, or should i find another option?",1
can i answer any other questions about the allenbell for you?,1
"can i answer any other questions about royal spice, or shall i book you a table?",1
can i answer any other questions about rice boat for you?,1
can i answer any other questions about prezzo for you today?,1
can i answer any other questions about india house for you?,1
can i answer any other questions about archway house?,1
can i answer any other questions abou the a and b?,1
can i answer any more questions or would you like me to book it?,1
can i answer any more questions or shall i book a room for you?,1
can i answer any more questions about the restaurant for you?,1
can i answer any more questions about the hotel for you today?,1
can i answer any additional questions for you today?,1
can i answer any additional questions for you or would you like to book a room?,1
can i answer any additional questions for you or shall i book it?,1
can i answer any additional questions for you about cityroomz?,1
can i answer any additional questions about this location?,1
can i answer any additional questions about the hotel?,1
can i answer any additional questions about frankie and bennys?,1
"are you still interested, or would you like to try something else?",1
"are you still interested, or would you like me to find an alternative?",1
"are you still interested, or should i search for something quieter?",1
"are you still interested, or should i search for something better?",1
"are you still interested, or should i look for another option for you?",1
are you interested in booking a table there?,1
are you interested in booking a stay?,1
are you interested in any other hotels in the area?,1
 would you like to make a reservation there or did you want to stick to delivery?,1
 would you like to look somewhere else?,1
 would you like to find somewhere else to make a reservation?,1
 would you like to find another place to stay?,1
 would you like to continue with a booking?,1
 would you like to change your reservation?,1
 would you like to book a reservation for dinner?,1
 would you like me to keep searching for places with outdoor seating?,1
 would you like me to book the room for you?,1
 the only thing i can tell you is they have a lot of imported canned milk teas if that's something you'd be interested in?,1
 perhaps for a different date?,1
 people seem to like it do you want to make a reservation?,1
 might i suggest some place else?,1
 is there anything else you would like to know?,1
 is there anything else you need to know?,1
 is that okay?,1
 is that going to be a problem or should i book you a table?,1
 guests have good things to say about the breakfast at a and b. would you like me to reserve a room for you?,1
 etc. would you like to book a reservation?,1
 do you want to make a reservation there or do you have more questions?,1
 do you want to know anything else about the hotel?,1
 do you want me to look for a different restaurant for you?,1
 do you need any more details from me or are you good to go?,1
 are you interested in making a reservation there today?,1
 would you like to make a delivery order or do you want to explore more options?,1
 would you like to make a reservation?,1
are you interested in a table or would you like to try another option?,1
 would you like to stay there?,1
are there any specific amenities that you require?,1
are there any other questions you have about your upcoming stay at this time?,1
are there any other questions that you'd like answered?,1
are there any other questions that i can try to answer for you today?,1
are there any other questions that i can try to answer for you at this time?,1
are there any other questions that i can answer for you about your upcoming reservation?,1
are there any other questions that i can answer for you about nandos?,1
are there any other questions i can answer for you today?,1
are there any other questions about the restaurant that i can answer for you?,1
anythong else you would like to know?,1
anything you would like to know?,1
anything else you would like me to know?,1
anything else you want to know?,1
anything else you need help with today?,1
anything else today?,1
anything else i can assist you with?,1
anything else i can answer for you?,1
anythinf else i can help you with?,1
any other questions i can answer for you?,1
any more information you would like to know?,1
"although no place is completely silent, right?",1
according to reviews of the hobson house the rooms are quite small would you like to make a booking somewhere else?,1
.would you like to make a reservation?,1
can i answer any other questions about the gonville?,1
can i answer any other questions about the guesthouse for you today?,1
can i answer any other questions about the guesthouse for you?,1
can i answer anything else to help you choose between them?,1
can i answer anything else or would you like to book?,1
can i answer anything else or would you like to book a table?,1
can i answer anything else or would you like me to book it?,1
can i answer anything else or would you like me to book it for you?,1
can i answer anything else or would you like a reservation?,1
can i answer anything else or should i book it for you?,1
can i answer anything else or shall i book it for you?,1
can i answer anything else or shall i book a table for you?,1
can i answer anything else or check on availability for you?,1
"can i answer anything else for you today, or book a table?",1
can i answer anything else for you or would you like to book it?,1
can i answer anything else for you or should i check on availability?,1
can i answer anything else for you or should i book it for you?,1
can i answer anything else for you or shall i book you a table?,1
can i answer anything else for you or book you a table?,1
can i answer anything else for you or book a table?,1
can i answer anything else for you before making a reservation?,1
can i answer anything else for you about this restaurant?,1
can i answer anything else for you about this location?,1
can i answer anything else for you about the rice boat today?,1
can i answer anything else for you about the gonville or help with something else?,1
can i answer anything else for you about the gandhi?,1
"can i answer anything else for you about the curry prince, or book a table?",1
can i answer anything else to help you choose between the two restaurants?,1
can i answer anything else to help you decide?,1
can i answer anything else for you about restaurant alimentum?,1
can i answer anything else today or reserve a table for you?,1
can i book you a room?,1
can i book you a reservation some place else or is that ok?,1
can i book this for you?,1
can i book a reservation for you?,1
can i book a reservation for you for your upcoming stay?,1
can i be of further assistance today?,1
can i be of further assistance to you today?,1
can i be of any other assistance to you?,1
can i assist you with something else?,1
can i assist you in making a reservation?,1
can i anwwer any other questions for you?,1
can i answer anything for you?,1
can i answer anything for you about the guest house?,1
"can i answer anything else, or would you like to make a reservation?",1
"can i answer anything else, or would you like to book it?",1
"can i answer anything else, or would you like to book a table?",1
"can i answer anything else, or would you like a booking?",1
"can i answer anything else, or should i book a room for you?",1
"can i answer anything else, or shall i book it for you?",1
"can i answer anything else, or shall i book a table for you?",1
"can i answer anything else, or shall i book a room for you?",1
"can i answer anything else, or book a table for you?",1
can i answer anything else you about the hotel?,1
can i answer anything else for you about saint johns chop house?,1
can i answer anything else for you about meze bar?,1
can i answer any other questions about the lodging?,1
"can i answer any other questions, or shall i book it for you?",1
can i answer any other questions or would you like me to book you a room?,1
can i answer any other questions or shall i book a table?,1
can i answer any other questions or shall i book a table for you?,1
can i answer any other questions or reserve a table for you?,1
can i answer any other questions or book a table for you?,1
"can i answer any other questions for you, or would you like to book it?",1
"can i answer any other questions for you, or shall i go ahead and book it?",1
"can i answer any other questions for you, or shall i book it?",1
can i answer any other questions for you or would you like to book it?,1
can i answer any other questions for you or shall i book it?,1
can i answer any other questions for you or shall i book a room?,1
can i answer any other questions for you or book you a table?,1
can i answer any other questions for you about the restaurant?,1
can i answer any other questions for you about the hotel?,1
can i answer any other questions for you about the guest house?,1
can i answer any other questions for you about the express by holiday inn?,1
can i answer any other questions for you about bankok city?,1
can i answer any other questions for you about archway house?,1
can i answer any other questions for you about anatolia?,1
can i answer any other questions about zizzi cambridge?,1
can i answer any other questions about this spot for you?,1
can i answer any other questions about the university arms?,1
can i answer any other questions about the restaurant?,1
can i answer any other questions to help you choose?,1
"can i answer any other questions, or should i check on availability?",1
can i answer anything else for you about hobsons house?,1
"can i answer any other questions, or would you like me to book it for you?",1
"can i answer anything else for you about hk fusion, or book a table?",1
"can i answer anything else for you about golden wok, or would you like a reservation?",1
can i answer anything else for you about golden house?,1
can i answer anything else for you about el shaddai?,1
can i answer anything else for you about dojo noodle bar?,1
can i answer anything else for you about autumn house?,1
can i answer anything else before booking it for you?,1
can i answer anything else before booking for you?,1
can i answer anything else about these restaurants for you?,1
can i answer anything else about the hotel or shall i book you a room?,1
can i answer anything else about the guesthouse?,1
can i answer anything else about the ashley for you?,1
can i answer anything else about the acorn for you?,1
"can i answer anything else about royal spice, or should i book it for you?",1
can i answer anything else about kohinoor?,1
can i answer anything else about home from home?,1
can i answer anything else about graffiti for you?,1
can i answer anything else about curry prince?,1
can i answer anything else about charlie chan for you?,1
can i answer anything else about caffe uno for you?,1
"can i answer any other questions, or would you like to book it?",1
"can i answer any other questions, or would you like to book a table?",1
"can i answer any other questions, or would you like me to reserve a room for you?",1
do you want to know anything else or make a booking?,1
do you want to know anything else or should we make you a reservation?,1
do you want to know more about any of the three restaurants?,1
should i search for a different option for you?,1
should i search for something that's described as a little quieter?,1
should i search for something quieter?,1
should i search for something else?,1
should i search for another location ?,1
should i search for another indian restaurant for you?,1
should i search for another hotel for you?,1
should i search for an option with better service instead?,1
should i search for an option that might have larger rooms?,1
should i search for a quiter option?,1
should i search for a more suitable option for you?,1
should i search for a location with a seafood specialty?,1
should i search for a different location for you?,1
should i book a room for you at cambridge belfry?,1
should i search for a better choice for you?,1
should i reserve a table?,1
should i reserve a table ?,1
should i proceed and book a table for you?,1
should i make the reservation?,1
should i make the reservation now?,1
should i make that reservation?,1
should i make a resevation?,1
should i make a reservation for your party outdoors?,1
should i make a reservation for you?,1
should i make a reservation ?,1
should i search for something with better internet?,1
should i select a different guesthouse for you?,1
should i set up a reservation for you?,1
should i start another search for you?,1
the river bar steakhouse and grill has according to all the reviews i could find would you like a reservation?,1
the express by holiday inn cambridge is said to be a bit overpriced according to most guests want to look elsewhere?,1
"the alpha milton guest house has a better ratio, though, so maybe try that place?",1
sounds good right?,1
"sounds friendly, right?",1
"some mixed signals there, eh?",1
"sitar tandoori is about 50/50, would you like me to find a place with higher service ratings?",1
should we try another location with larger rooms?,1
should we look somewhere else for another hotel?,1
should we look elsewhere?,1
should we look at other options?,1
should we go ahead with your reservation?,1
should we continue on with a booking?,1
should we cancel your reservation?,1
should we book a room for you at the carolina bed and breakfast?,1
should i verify your reservations?,1
should i try to book it?,1
should i try another search?,1
should i try another option for you?,1
should i try another location for your stay?,1
should i try another location for you?,1
should i try another hotel?,1
should i try a different guesthouse for you?,1
should i make a booking for you?,1
should i look for somewhere else for you?,1
should i look for something else or do you want to try it?,1
should i check for a british restaurant with outdoor dining?,1
should i book you a table?,1
should i book you a table at meghna?,1
should i book you a table at da vinci pizzeria?,1
should i book you a room?,1
should i book you a room there?,1
should i book you a room at the gonville hotel?,1
should i book you a room at arbury lodge guesthouse?,1
should i book you a room at acorn guest house?,1
should i book worth house for you?,1
should i book this for you?,1
should i book the room for you?,1
should i book the room at gonville hotel?,1
should i book the reservation at rajmahal?,1
should i book the gonville hotel?,1
should i book the allenbell?,1
should i book that table?,1
should i book that for you?,1
should i book ashley hotel?,1
should i book a table for your party?,1
should i book a table for you at the oak bistro?,1
should i book a table for you at royal standard?,1
should i book a table for you at curry prince?,1
should i book a table for you at ask?,1
should i cancel the reservation and try somewhere else or are you ok with dining indoors?,1
should i check on availability for your travel dates?,1
should i look for others?,1
should i check on table availability for you?,1
should i look for other reviews of the copper kettle?,1
should i look for other options or would you like a reservation for a table indoors?,1
should i look for more reviews?,1
should i look for another place for you to stay instead?,1
should i look for another hotel?,1
should i look for an option with better reviews?,1
should i look for an different hotel for you?,1
should i look for a different hotel?,1
should i look for a better option for you?,1
should i look at other options?,1
should i keep searching for a better alternative?,1
should i keep looking for a better option?,1
should i go back to the other guest house option?,1
should i go ahead and reserve a table for 5 people?,1
should i go ahead and make a reservation for you?,1
should i go ahead and book you a table?,1
should i go ahead and book that for you?,1
should i find another option for you?,1
should i finalize that reservation for you?,1
should i continue with the booking?,1
should i choose another option?,1
should i choose another option for you?,1
should i choose another one instead?,1
there are also some comments by guest who said they did not like the meal served at the b&b. would you like to know more about them?,1
"there were also some customers who didn't like the location saying it was not in the best area, would you like to know more about them or should i look for another place?",1
want a reservation there?,1
will that work or should we keep looking?,1
will that work or should i find another option?,1
will that work or should i find another hotel for you?,1
will that work or should i find an alternative location?,1
will that work or should i choose another hotel for you?,1
"will that work for you, or would you like to try somewhere else?",1
"will that work for you, or would you like another option?",1
"will that work for you, or should we find a different place and cancel this one?",1
"will that work for you, or should i run another search?",1
"will that work for you, or should i keep looking?",1
"will that work for you, or should i find another location?",1
"will that work for you, or should i do another search?",1
will that work for you or would you like to try something else?,1
will that work for you or would you like another option?,1
will that work for you or should i try something else?,1
will that work for you or should i search for another option?,1
will that work for you or should i look for something better?,1
will that work for you or should i keep searching?,1
will that work for you or should i keep looking?,1
will that work for you or should i find something else?,1
will that work for you or should i continue looking at other options?,1
"will that still work, or would you like a new reservation?",1
"will that still work, or should i try something else?",1
"will that still work, or should i search for a location with a better view than yu garden?",1
will that work or should i look for an option with larger rooms?,1
"will that work, or should i do another search?",1
"will that still work, or should i find another option for you?",1
"will that work, or should i look for a better option?",1
would you like a reservation for a table outdoors?,1
would you like a reservation at university arms hotel?,1
would you like a reservation at one of these?,1
would you like a reservation at j restaurant?,1
would you like a reservation at alpha-milton guest house?,1
would you like a little more information?,1
would you like a booking?,1
would you like a booking there?,1
would you care to make a reservation?,1
would you care to book a room?,1
would you care to book a room there?,1
would you be interested or should i find a location with a great view?,1
would you be interested in making a reservation for dinner?,1
would you be interested in exploring other options?,1
would you be interested in booking a table at curry prince?,1
would you be interested in booking a room?,1
would like some more information about the place?,1
would like more information about them?,1
would like me to book a table for you?,1
will this work for you?,1
will this booking also be for three people?,1
will there be anything else you need?,1
will that work?,1
"will that still work, or should i look for another option?",1
will that still work or would you like to try something else?,1
want another suggestion?,1
what do you think...would you like to give them a try?,1
what days would you like to stay?,1
what days would you be staying?,1
what days will you be travelling?,1
what days are you looking to stay there?,1
what day are you wanting to book that for?,1
what amenities are you looking for?,1
what accommodations are you looking for with your stay?,1
we could also look at some other options?,1
want to try that place or somewhere else?,1
want to try it anyway?,1
want to plan a trip there?,1
want to make a reservation somewhere else?,1
want to make a booking?,1
want to know anything else about it?,1
want to get a reservation?,1
want to book something else?,1
want to book it now?,1
want to book it anyways?,1
want to book a table?,1
want to book a table there or do you have more questions?,1
want more info or to keep searching?,1
want me to book you a room there?,1
want me to book it for you?,1
what do you like to make a reservation there or can i help you with something else?,1
what else are you looking for in a hotel in order to narrow down your choice?,1
"will that still work for you, or should i look for something else?",1
what else can i do for you?,1
"will that be okay, or should i look for another option for you?",1
"will that be okay, or should i look at one of the other upscale options?",1
which one would you like to make a reservation at?,1
which one would you like me to book?,1
which night would you like the reservation to start?,1
where would you like your train to leave from and go to?,1
when would you like me to book it for?,1
when would you like me to book a table for?,1
what would you like to do?,1
what size do you require?,1
what size do you need for your stay?,1
what other questions do you have?,1
