,question,turn_nr,reference_response,reference_length,ref_know_nr,reference_domain,reference_doc_type,prediction_response,prediction_length,pred_know_nr,prediction_domain,prediction_doc_type,bleu,meteor,rouge1,rouge2,rougeL,dialogue_act_history
366,I get pleasant sights from the room correct?,21,"According to the reviews I have on hand for that location, the views at this location are relaxing, great and unique!",117,3,hotel,review,The A and B Guest House has a great view especially at sunset. Would you like me to book a room for you?,104,4,hotel,review,0.02252278368576829,0.07980664496678251,0.31818181818181823,0.0,0.13636363636363635,"['opening', 'statement', 'opinion', 'statement', 'command', 'open_question_factual', 'statement', 'statement', 'statement', 'open_question_opinion', 'command', 'command', 'statement', 'statement', 'yes_no_question', 'opinion', 'statement', 'open_question_opinion', 'opinion', 'statement', 'statement']"
367,Could you first tell me is it located in a quiet area?,5,Past guests of the Acorn Guest House say that the rooms and the guest house were peaceful and quiet.,100,3,hotel,review,The Acorn Guest House is located in a quiet area according to guests. Would you like me to book a room for you?,111,3,hotel,review,0.06667489966054597,0.18304408365362582,0.3333333333333333,0.15,0.23809523809523808,"['statement', 'statement', 'opinion', 'command', 'command']"
368,Does it have a nice view?,3,"Yes, reviewers have said Cityroomz offers guests a very nice view. Would you like me to book a room for you?",108,4,hotel,review,The Cityroomz hotel has a great view according to most guests. Only one person said they were not disappointed.,111,5,hotel,review,0.02560758356087475,0.13107589001357417,0.3,0.0,0.2,"['yes_no_question', 'statement', 'yes_no_question']"
369,Are they known for having exceptional service?,5,"Yes, the Kymmoy has really friendly staff that know how to tell a good joke. Want to book it or do you want more information?",125,1,restaurant,review,The Kymmoy has a host and waiter that are extremely friendly and even cracked a few good jokes. Would you like to know more about them?,135,1,restaurant,review,0.04179882049216856,0.21194909599296002,0.47058823529411764,0.12244897959183673,0.35294117647058826,"['open_question_opinion', 'yes_no_question', 'command', 'command', 'statement']"
370,How big are the rooms?,3,The rooms are large enough to accommodate you and your partner and even can handle more than two people.,104,2,hotel,review,"According to the reviews I have on hand for that location, the opinions are mixed.  Half found the rooms cramped and small, while half found them spacious and enjoyable.",169,2,hotel,review,0.017577459356554814,0.09259391299099319,0.25,0.043478260869565216,0.16666666666666666,"['command', 'statement', 'open_question_factual']"
371,Is the staff their nice and polite?,3,"Most people do find the staff at Golden Wok to be nice and polite, but there are those who feel that they could be friendlier.",126,8,restaurant,review,"The staff at the Golden Wok is super friendly and courteous according to most guests. One person did complain about them being slow, though.",140,7,restaurant,review,0.048075470019596486,0.2260665310781337,0.3673469387755102,0.1276595744680851,0.2857142857142857,"['statement', 'statement', 'open_question_opinion']"
372,Does the bridge have a reliable internet connection for my business needs?,11,Patrons at the Bridge Guest House say the internet is free and fast.  Would you like me to make a booking for you?,114,3,hotel,review,"Yes, the Bridge Guest House does have a reliable internet connection for your business needs. Past guests have described it as extremely fast.",142,7,hotel,faq,0.11902001907030842,0.19404163907787012,0.34782608695652173,0.13636363636363635,0.2608695652173913,"['statement', 'statement', 'statement', 'statement', 'statement', 'statement', 'statement', 'statement', 'statement', 'open_question_opinion', 'yes_no_question']"
373,i need a  place that serves a good portion of food,13,"The Sala Thong has small portions according to most customers, only two people thought the portions were big, the rest all complained about them being small.",157,6,restaurant,review,The Sala Thong gets mixed reviews on their portion sizes. Some customers say the portions are huge while others say they are tiny. Would you like to know more about them?,170,6,restaurant,review,0.06510755202591488,0.16238700356114172,0.3508771929824561,0.14545454545454545,0.3157894736842105,"['statement', 'command', 'opinion', 'opinion', 'command', 'statement', 'statement', 'statement', 'statement', 'statement', 'yes_no_question', 'statement', 'statement']"
374,Does it have a good location?,7,"The Tandoori Palace is in a mediocre location according to two customers, but one said it was in a nice plaza. Would you like to book a table?",142,3,restaurant,review,The location of Tandoori Palace overlooks the outside plaza where you can see a nice fountain. Would you like me to book a table for you?,137,3,restaurant,review,0.1919484676740714,0.27280768039617537,0.5185185185185186,0.2692307692307692,0.4444444444444445,"['statement', 'opinion', 'command', 'statement', 'opinion', 'opinion', 'open_question_opinion']"
375,Does this place offer a good view from my room?,3,The guests complimented the views of the forest and the moutains from their rooms. Anything else I can help you with?,117,2,hotel,review,The Cambridge Belfry has a spectacular view of the mountains from the balcony. Would you like me to book a room for you?,120,3,hotel,review,0.04260146736441797,0.10890399277559186,0.3636363636363636,0.09523809523809525,0.31818181818181823,"['statement', 'statement', 'yes_no_question']"
376,Does Sala Thong serve generous portions?,7,"People have different opinions on the size of the portions at Sala Thong. Some people describe them as tiny, while others describe them as massive.",147,6,restaurant,review,The Sala Thong has mixed reviews about their portion sizes. Some say the portions are large and massive while others say they are tiny and left hungry. Would you like to know more about them?,191,6,restaurant,review,0.042899165700759294,0.24044462596478627,0.39999999999999997,0.10344827586206896,0.23333333333333334,"['opinion', 'statement', 'command', 'statement', 'statement', 'statement', 'open_question_opinion']"
377,Does any place have big rooms?,9,"According to past customer reviews all three have large spacious rooms. One customer of Leverton House complained of the rooms not being cleaned when they arrived, and the Autumn House has quiet large rooms that offer a great view of the sunset.",245,7,hotel,review,The rooms at the Allenbell are big and spacious while those at the Leverton House are small and cramped.,104,8,hotel,review,0.015515137966410282,0.0937013852417664,0.26229508196721313,0.06779661016949154,0.1639344262295082,"['statement', 'comment', 'statement', 'statement', 'open_question_factual', 'opinion', 'yes_no_question', 'statement', 'yes_no_question']"
378,Can you tell me first if the restaurant gives good value for money as far as the portion size goes?,5,The Restaurant Alimentum gets mostly great reviews on their portion sizes however some customers found their portions to be a little small. Would you like to know more about them?,179,7,restaurant,review,The Restaurant Alimentum has a lot of reviews that say the portion sizes are too small. Would you like me to find another place with bigger portions?,149,10,restaurant,review,0.17667273035134978,0.27049012647862053,0.456140350877193,0.21818181818181817,0.38596491228070173,"['statement', 'statement', 'command', 'open_question_opinion', 'command']"
379,Is the hotel quiet 24/7?,3,"Although there have been some reviews complaining about noise, the majority found the Lensfield Hotel to be very quiet. Can I book you a room?",142,8,hotel,review,"The Lensfield Hotel is very quiet according to most guests, but a few guests said it was too noisy. Can I book you a room?",122,8,hotel,review,0.2961516536011624,0.32072291522641144,0.48,0.3333333333333333,0.44,"['statement', 'statement', 'yes_no_question']"
380,Do they have good views from the rooms?,7,Those that have stayed at the Arbury Lodge Guesthouse unanimously believe that the views from the rooms are amazing and produce fond memories.,142,5,hotel,review,"The views from the Arbury Lodge Guesthouse are amazing and private at night, while those from the Acorn Guest House are amazing.",128,10,hotel,review,0.1905195539361547,0.24838822425160928,0.5777777777777778,0.37209302325581395,0.3555555555555555,"['statement', 'statement', 'statement', 'open_question_factual', 'statement', 'statement', 'open_question_opinion']"
381,"I want to enjoy the view from my room, will this work?",9,The Alexander bed and breakfast has amazing ocean views that customers said they loved. Do you want to make a reservation?,122,4,hotel,review,The Alexander Bed and Breakfast has a great view of the ocean. Would you like me to book it for you?,100,6,hotel,review,0.0492467473444436,0.2238151277019078,0.5238095238095238,0.25,0.42857142857142855,"['yes_no_question', 'statement', 'opinion', 'statement', 'statement', 'open_question_opinion', 'statement', 'opinion', 'opinion']"
382,Can I get a room with a nice view?,17,"One guest of the Cambridge belfry stated, their room had a spectacular view of the forest and nature and another said mountains.",128,2,hotel,review,The Cambridge Belfry has a spectacular view of the mountains from the balcony. Can I help you with anything else today?,119,3,hotel,review,0.17095472833846068,0.2353821487549808,0.4186046511627907,0.2926829268292683,0.4186046511627907,"['statement', 'opinion', 'opinion', 'opinion', 'statement', 'statement', 'open_question_opinion', 'complaint', 'command', 'complaint', 'opinion', 'statement', 'complaint', 'statement', 'statement', 'statement', 'command']"
383,Can I see through the window?,5,Yes you can. The De Luca Cucina and Bar restaurant have very large windows that have a beautiful oceanfront view.,113,3,restaurant,review,The De Luca Cucina and Bar has a nice view overlooking the river. Would you like me to book a table for you?,108,6,hotel,review,0.2108445456905126,0.24563131695012747,0.4186046511627907,0.24390243902439024,0.37209302325581395,"['statement', 'command', 'opinion', 'open_question_opinion', 'yes_no_question']"
384,Do they serve alcohol?,11,Yes they do and with good reviews. Customers say the drinks were affordable and high-quality. Is there anything else you'd like to know about them?,147,5,restaurant,review,"Yes, Restaurant One Seven does serve alcohol. Past guests have said that they have a various assorment of local brews.",118,6,restaurant,faq,0.0187373517027261,0.05001998867092764,0.0851063829787234,0.0,0.0851063829787234,"['statement', 'opinion', 'opinion', 'command', 'command', 'command', 'command', 'command', 'command', 'statement', 'statement']"
385,Is the hotel quiet?,11,The Acorn Hotel is quiet according to customer reviews I found. Would you like me to book a room for you?,105,3,hotel,review,"Yes, the Acorn Guest House is quiet. Past guests have said that they were not disturbed by any loud or disruptive patrons.",122,3,hotel,review,0.035823421191287175,0.10087677742576102,0.18604651162790697,0.0975609756097561,0.18604651162790697,"['yes_no_question', 'open_question_factual', 'statement', 'statement', 'open_question_opinion', 'statement', 'statement', 'statement', 'command', 'opinion', 'yes_no_question']"
386,Does Pizza Hut Cherry Hinton serve wine at a good value for the money?,5,"There's a difference of opinions regarding whether the wine prices at Pizza Hut Cherry Hinton, from affordable to overpriced.",125,4,restaurant,review,"The Pizza Hut Cherry Hinton does serve wine, but reviews are mixed. Some customers thought the prices were affordable while others thought the drinks were overpriced. Would you like to know more about them?",206,9,restaurant,review,0.08579833140151857,0.2555600577948407,0.37037037037037035,0.11538461538461539,0.25925925925925924,"['yes_no_question', 'statement', 'statement', 'statement', 'yes_no_question']"
387,Does the lensfield hotel have big rooms?,3,"No, the rooms are on the small side. Will that work for you or would you like to find an option with bigger rooms?",114,5,hotel,review,The Lensfield Hotel has a lot of reviews that say the rooms are too small. Only one person said the rooms were big.,115,5,hotel,review,0.06613837137034122,0.15443778015112716,0.2978723404255319,0.08888888888888888,0.2127659574468085,"['yes_no_question', 'statement', 'yes_no_question']"
388,Is this a place with good views?,13,Previous patrons of the Acorn Guest House are known to have thoroughly enjoyed the exquisite views available.,109,5,hotel,review,"Yes, the Acorn Guest House does have good views. Past guests have described it as exquisite, unlike anything they've ever seen before.",134,5,hotel,review,0.10754672770161264,0.24233411707717026,0.35,0.15789473684210525,0.3,"['statement', 'open_question_factual', 'statement', 'statement', 'statement', 'statement', 'command', 'statement', 'statement', 'statement', 'statement', 'command', 'yes_no_question']"
389,Does it get good scores for cleanliness?,5,"For the most part, guests that stayed at the Hobsons House believed the cleanliness of the bathrooms to be top notch and well-cleaned.",134,3,hotel,review,The Hobson's House gets high marks for cleanliness with guests saying the bathrooms were pristine and pristine. There were also guests who said the bathroom was not well cleaned. Would you like to know more about them?,218,4,hotel,review,0.026761512236483348,0.2383879539576936,0.4193548387096774,0.1,0.2903225806451613,"['statement', 'statement', 'statement', 'statement', 'yes_no_question']"
390,Does this place offer good portions of food?,3,"People have very differing opinions on the portion sizes. Some past guests say they were massive, but others said they were tiny.",129,6,restaurant,review,The majority of reviewers thought that the portions were too small. Only one person thought they were large.,108,6,restaurant,review,0.039247811008966224,0.10480214854631131,0.25,0.10526315789473684,0.25,"['yes_no_question', 'command', 'yes_no_question']"
391,Will you tell me if their rooms have good views?,7,Yes they do. The Lensfield Hotel offer rooms which have an incredibly beautiful view that is very pleasant.,107,3,hotel,review,"The Lensfield Hotel has gorgeous views according to most guests, but one person did say they couldn't get enough of it.",119,5,hotel,review,0.06964541799727335,0.12231238391990354,0.25,0.10526315789473684,0.19999999999999998,"['yes_no_question', 'command', 'statement', 'open_question_opinion', 'opinion', 'statement', 'command']"
392,Is it in a quiet location?,3,"Ashley Hotel guests stated that the hotel is quiet overall, and that there are very few noises during their entire stay.",120,4,hotel,review,"The Ashley Hotel is in a quiet location according to most guests. One person did complain about noise, though.",110,5,hotel,review,0.045149709666473754,0.15177434513620314,0.35,0.10526315789473685,0.25,"['statement', 'statement', 'open_question_opinion']"
393,Does this place serve alcohol?,3,"Yes, the Grafton Hotel Restaurant has alcoholic drinks available, such as English ale. Do you want to make a reservation there?",127,5,restaurant,review,"Yes, the Grafton Hotel Restaurant does serve alcohol. They have a wide variety of soft drink options, including English ale.",124,6,restaurant,review,0.24883108274644028,0.2801422179488007,0.4878048780487805,0.25641025641025644,0.4390243902439024,"['statement', 'statement', 'statement']"
394,Do they offer rooms in a quiet atmosphere?,7,"The atmosphere provided at the Alexander Bed and Breakfast is predominantly noisy, with most guests being disappointed by the traffic and neighboring rooms.",156,8,hotel,review,"The Alexander Bed and Breakfast is in a quiet location according to most guests, but a few did find it to be noisy.",115,7,hotel,review,0.1815737416858213,0.21218998623275556,0.43478260869565216,0.2727272727272727,0.391304347826087,"['statement', 'opinion', 'opinion', 'statement', 'opinion', 'opinion', 'statement']"
395,Will the room there have a good view for me?,17,Previous customers have noted that from their rooms they had a nice view of the woods and the mountains.,104,2,hotel,review,The Cambridge Belfry has a spectacular view of the mountains from the balcony. Is there anything else I can do for you?,119,3,hotel,review,0.08282282660969603,0.1549650742498735,0.3414634146341463,0.15384615384615383,0.24390243902439024,"['statement', 'command', 'open_question_opinion', 'opinion', 'pos_answer', 'statement', 'yes_no_question', 'statement', 'statement', 'command', 'open_question_opinion', 'opinion', 'opinion', 'statement', 'opinion', 'statement', 'yes_no_question']"
396,Does it offer a good bang for your buck?,15,Guests have said that the spa is priced way to high and that the price of their room was also a downside.  Some have also said it was great for their limited budget.,165,3,hotel,review,The Cambridge Belfry offers a good bang for your buck according to most guests. One person did say it was overpriced though.,124,4,hotel,review,0.027214797827776936,0.10101912278927705,0.2545454545454546,0.03773584905660377,0.14545454545454545,"['opinion', 'opinion', 'opinion', 'statement', 'open_question_factual', 'statement', 'open_question_opinion', 'statement', 'statement', 'command', 'statement', 'open_question_opinion', 'opinion', 'open_question_factual', 'open_question_factual']"
397,How desirable is the Acorn's location?,7,"Some people feel that the Acorn's location is desirable, and have commented on feeling safe and comfortable. But others feel that the location is inconvenient.",159,7,hotel,review,"The location of the Acorn Guest House can be overlooked, as it's far from the center of the city and nightlife.",111,8,hotel,review,0.020736288352473008,0.10370242644432333,0.24999999999999994,0.08695652173913043,0.16666666666666669,"['statement', 'opinion', 'opinion', 'open_question_opinion', 'neg_answer', 'statement', 'open_question_factual']"
398,Are there good views available from the room?,9,The Acorn Guest House has really beautiful views from their rooms. Do you want to book a reservation there?,107,5,hotel,review,"Yes, there are good views available from the rooms at Acorn Guest House. Past guests have said that the view was unlike anything they've ever seen before.",154,5,hotel,review,0.059055756167575545,0.21762551721400886,0.3404255319148936,0.08888888888888888,0.2127659574468085,"['opinion', 'opinion', 'opinion', 'command', 'opinion', 'command', 'statement', 'opinion', 'yes_no_question']"
399,How nice is the view?,7,"Past guests don't seem to be very happy with the view. They have described it as being lackluster, and have said there are places with better views.",148,2,restaurant,review,The Cocum has a lackluster view according to one customer. Would you like me to find another place with better views?,117,2,restaurant,review,0.055878916532454005,0.16810209436620618,0.32653061224489793,0.12765957446808512,0.24489795918367344,"['command', 'complaint', 'command', 'opinion', 'command', 'statement', 'open_question_factual']"
400,Are the portions large?,3,The Missing Sock's portions are average at best. There was a review where the customer was glad he ordered two entrees because serving size was a bit small. Would you like me to find another restaurant that has heartier portions of food?,237,2,restaurant,review,The Missing Sock has mixed reviews about their portion sizes. Some people thought the portions were too small while others thought they were large.,147,2,restaurant,review,0.01967514070858228,0.09063747722665234,0.29850746268656714,0.061538461538461535,0.1791044776119403,"['opinion', 'statement', 'yes_no_question']"
401,Does Gonville and Lensfield have good views from your rooms?,5,"The Gonville Hotel offers its guests stunning views from the rooms, while the Lensfield Hotel also provides gorgeous sights.",124,6,hotel,review,Both the Gonville Hotel and the Lensfield Hotel offer excellent views of the surrounding sights and attractions.,112,8,hotel,review,0.09856389591407626,0.2194119268964933,0.5555555555555555,0.29411764705882354,0.3888888888888889,"['statement', 'statement', 'statement', 'opinion', 'yes_no_question']"
402,Is the service really good here?,7,"Past diners have described the service as really good, friendly, and superb. Would you like to make a reservation?",114,3,restaurant,review,"Yes, the service at Chiquito Restaurant Bar is very good. Past guests have described it as friendly, world-class, and superb.",125,3,restaurant,review,0.15055864855414344,0.31428963668565785,0.5,0.15789473684210525,0.35,"['statement', 'open_question_opinion', 'opinion', 'command', 'command', 'command', 'yes_no_question']"
403,Does this restaurant serve alcohol?,5,"Yes, the city stop restaurant does serve alcohol. The reviews are mixed about the quality of the drinks. Is there anything else you need to know?",145,7,restaurant,review,"Yes, they serve alcohol at City Stop Restaurant. Is there anything else you'd like to know about them?",102,7,restaurant,faq,0.16175328337731312,0.3007724845187942,0.6222222222222222,0.37209302325581395,0.4888888888888889,"['opinion', 'statement', 'command', 'statement', 'open_question_factual']"
404,Are they known for clean rooms?,9,Yes they have clean rooms that are washed by the staffs in the area .They are often wash almost everyday,104,3,hotel,review,"The rooms at Finches Bed and Breakfast are clean and well maintained, but the rest of the rooms aren't as clean.",112,3,hotel,review,0.025771688135729765,0.08450704225352113,0.23809523809523808,0.0,0.1904761904761905,"['statement', 'open_question_opinion', 'opinion', 'opinion', 'command', 'statement', 'statement', 'statement', 'yes_no_question']"
405,Do they serve alcohol at that restaurant?,17,"Yes, Grafton Hotel Restaurant does serve alcohol. Their drink menu includes English ale, and prices range from medium to high.",126,5,restaurant,review,"Yes, they do serve alcohol at Grafton Hotel Restaurant. Past guests have said that they have a lot of great soft drink options.",127,6,restaurant,review,0.08640609739997757,0.20240780515118945,0.3255813953488372,0.14634146341463414,0.23255813953488372,"['statement', 'other_answers', 'command', 'command', 'command', 'statement', 'statement', 'statement', 'opinion', 'statement', 'statement', 'opinion', 'command', 'statement', 'yes_no_question', 'statement', 'yes_no_question']"
406,Can you confirm how spacious the rooms are at Ashley Hotel?,9,Most reviewers felt the rooms at Ashley Hotel were generously sized. Can I answer anything else about the hotel for you?,120,4,hotel,review,The Ashley Hotel has big rooms according to most guests. Only one person said that the room was too small.,106,6,hotel,review,0.04150715368219941,0.15551442259180373,0.2926829268292683,0.10256410256410256,0.1951219512195122,"['statement', 'open_question_factual', 'statement', 'statement', 'opinion', 'statement', 'command', 'statement', 'command']"
407,How clean are their rooms?,9,The housekeepers do an exceptional job at Rosa's Bed and Breakfast. Should I make a reservation for you?,104,1,hotel,review,"According to the reviews I have on hand for that location, the rooms have been cleaned to an exceptional degree!  Sound good to you?",132,1,hotel,review,0.043441091034192414,0.11920899598273749,0.27906976744186046,0.04878048780487805,0.186046511627907,"['statement', 'statement', 'opinion', 'statement', 'opinion', 'statement', 'opinion', 'command', 'open_question_factual']"
408,Do the rooms there have a great view?,9,The view from all of the customer ratings is that the view is wonderful and worth the money for the great view.,111,4,hotel,review,The Rosa's Bed and Breakfast has gorgeous views according to guests. Would you like me to book it for you?,106,4,hotel,review,0.023341187806527487,0.04665459409804475,0.18604651162790697,0.0,0.1395348837209302,"['statement', 'opinion', 'opinion', 'statement', 'command', 'statement', 'statement', 'statement', 'yes_no_question']"
409,Does this restaurant have beautiful decorations?,11,"The Graffiti Restaurant has really nice interior decor according to one customer, but other than that, I don't have many details.",129,1,restaurant,review,"The Graffiti gets high marks for their interior decor with customers saying it's inviting, intimate, and authentic. Would you like to know more about them?",155,3,restaurant,review,0.04327969719414173,0.14238430276411018,0.24999999999999994,0.08695652173913043,0.20833333333333331,"['statement', 'statement', 'statement', 'statement', 'open_question_factual', 'statement', 'statement', 'statement', 'opinion', 'opinion', 'yes_no_question']"
410,Are the beers a good value?,5,"Kymmoy serves alcoholic beverages. It doesn't say here if they serve beer, but the drinks are affordable according to most guests.",130,4,restaurant,review,The Kymmoy gets high marks for their affordability with customers saying it's affordable and refreshingly affordable. There were customers who thought it was overpriced. Would you like to know more about them?,209,8,restaurant,review,0.01579046021241852,0.11706753602275184,0.21818181818181817,0.0,0.14545454545454545,"['statement', 'statement', 'command', 'statement', 'yes_no_question']"
411,Does it have a welcoming vibe?,3,Let me check that for you. India House is known to have great ambiance. Should I try to book a reservation?,107,1,restaurant,review,"Yes, the India House restaurant does have a welcoming vibe. Past guests have described it as delightful and authentic.",118,7,restaurant,review,0.04151237742650008,0.09673991720470855,0.2,0.052631578947368425,0.2,"['command', 'statement', 'open_question_opinion']"
412,Do they serve beer that's good value?,11,"Sala Thong does serve alcohol. The beer was said to be quite expensive according to two reviewers, although it is also imported so please factor that in.",153,5,restaurant,faq,"The Sala Thong serves beer, but I don't have any information about whether they serve beer. Do you want to make a reservation?",126,5,restaurant,review,0.035032598819186654,0.14055745163114938,0.23529411764705882,0.04081632653061224,0.19607843137254902,"['statement', 'statement', 'statement', 'statement', 'open_question_opinion', 'yes_no_question', 'open_question_factual', 'statement', 'statement', 'statement', 'yes_no_question']"
413,Are they a quiet place?,9,Acorn Guesthouse offers a very quiet place for those to relax. Don't have to worry about any loud disruptions from other staying there.,135,3,hotel,review,"According to the reviews I have on hand for that location, the noise level there has been described as quiet and relaxing.  Sound good to you?",142,3,hotel,review,0.020929373635196202,0.09740442110195191,0.27999999999999997,0.0,0.12000000000000001,"['statement', 'statement', 'opinion', 'statement', 'statement', 'statement', 'opinion', 'statement', 'yes_no_question']"
414,Does it have good priced beet?,3,"Do you mean beer? If so, I found one review that said the beer was just okay. The other people said the drinks were good though.",128,7,restaurant,review,The Bedouin gets very high marks for their affordable prices. Would you like to know more about them?,101,7,restaurant,review,0.01642277366631925,0.06932338015435546,0.09090909090909093,0.0,0.04545454545454546,"['opinion', 'command', 'yes_no_question']"
415,What other services are included with booking?,5,"The Cambridge Belfry has a spa, but it costs money to use. I am not sure about any other amenities. Do you want to stay there?",126,3,hotel,review,The Cambridge Belfry offers free wi-fi for their guests. Is there anything else I can help you with?,100,0,empty,empty,0.05523940601812385,0.1701828336442878,0.26666666666666666,0.09302325581395349,0.2222222222222222,"['statement', 'statement', 'opinion', 'statement', 'open_question_factual']"
416,Do either restaurants offer a good view from the tables?,17,The views at the Anatolia are nice and overlook Main Street and at the Efes Restaurant the sights are split between splendid and disappointing.,143,7,restaurant,review,"The views at Efes Restaurant are very nice, overlooking Main Street with many flowers and pine trees. Would you like to know more about them?",141,7,restaurant,review,0.08179879050970096,0.22515755461426237,0.4489795918367347,0.2127659574468085,0.3673469387755102,"['statement', 'opinion', 'open_question_factual', 'statement', 'yes_no_question', 'statement', 'statement', 'statement', 'command', 'opinion', 'opinion', 'opinion', 'opinion', 'statement', 'command', 'opinion', 'yes_no_question']"
417,Is the dine in nicely decorated?,7,It is. Graffiti is known for there exceptional interior design. Would you like to make a reservation?,101,1,restaurant,review,The Graffiti gets high marks for their interior decor with customers saying it's inviting and intimate. Would you like to know more about them?,143,2,restaurant,review,0.15663915411954296,0.20951392516641484,0.38095238095238104,0.15,0.3333333333333333,"['statement', 'statement', 'pos_answer', 'pos_answer', 'opinion', 'command', 'yes_no_question']"
418,Do they have a nice area for outdoor dining?,15,"Unfortunately both locations, Bangkok City and the Sala Thong, lack the feature of outdoor dining areas.",104,2,restaurant,faq,Neither Sala Thong nor Bangkok City have outdoor seating available. Would you like me to find a place with outdoor seating?,123,2,restaurant,faq,0.05154337627145953,0.17850186859610556,0.27027027027027023,0.1142857142857143,0.16216216216216214,"['statement', 'statement', 'statement', 'open_question_opinion', 'command', 'statement', 'statement', 'command', 'command', 'statement', 'statement', 'opinion', 'opinion', 'opinion', 'yes_no_question']"
419,Which one is in a better location?,11,The Hotel du Vin and Bistro has more positive comments on their great location while the Galleria's customers are not crazy about their location. Would you like to know more about either of them?,195,6,restaurant,review,"The location of Hotel du Vin and Bistro is scenic and easy to get to, while that of the Galleria can be hard to reach.",118,7,restaurant,review,0.11586738459604178,0.19512422559057868,0.39999999999999997,0.1724137931034483,0.3333333333333333,"['statement', 'open_question_opinion', 'opinion', 'opinion', 'command', 'command', 'open_question_factual', 'statement', 'statement', 'command', 'opinion']"
420,Do they have various non-alcoholic drink options?,3,The Pizza Hut Cherry Hinton has a large variety of options in both non-alcoholic and alcoholic drinks. Would you like to know anything else about them?,151,1,restaurant,review,"Yes, they do have various non-alcoholic drink options at Pizza Hut Cherry Hinton. Past guests have said that they have plenty on offer.",135,1,restaurant,review,0.0963145602675597,0.19708449003696205,0.3137254901960785,0.20408163265306123,0.15686274509803924,"['statement', 'statement', 'yes_no_question']"
421,Do you know if they have a good view from the rooms there?,11,"Yes, Cityroomz has really great views from the rooms. Do you have any other questions about the hotel?",102,4,hotel,review,The Cityroomz hotel has great views according to almost all of the guests. Only one person said they were disappointed.,119,5,hotel,review,0.04724932626401583,0.17128825864284997,0.36842105263157887,0.05555555555555555,0.2631578947368421,"['statement', 'open_question_factual', 'statement', 'statement', 'statement', 'statement', 'command', 'statement', 'opinion', 'opinion', 'yes_no_question']"
422,How good is the internet connection there?,11,According to some of the reviews left by previous guests the internet connection is swift and more then most people would need.,127,3,hotel,review,The Bridge Guest House offers free Wi-Fi for their guests to use. Is there anything else I can help you with?,109,7,hotel,review,0.021671320168371845,0.061606160616061605,0.18181818181818182,0.0,0.13636363636363635,"['command', 'open_question_opinion', 'open_question_opinion', 'opinion', 'statement', 'statement', 'statement', 'statement', 'statement', 'command', 'open_question_factual']"
423,Can I see outside the window?,7,"Some customers have stated that the views are nice, but others have stated that they wanted better views while they enjoyed their meals.",136,2,restaurant,review,"The Little Seoul has a nice view according to two customers, but one person said they wanted a better view.",107,2,restaurant,review,0.0506907983395043,0.1825904337964684,0.4186046511627907,0.0975609756097561,0.3255813953488372,"['statement', 'statement', 'opinion', 'statement', 'statement', 'statement', 'yes_no_question']"
424,Do either of those places have large rooms?,7,"The majority of guests at the Ashley Hotel state that room sizes are large and ample, while those that visited Cityroomz say that their rooms ranged from tiny to spacious.",171,8,hotel,review,"The Cityroomz hotel has large rooms according to most guests, but one person did complain about the size of the room.",117,6,hotel,review,0.020277383129184014,0.16133004877825863,0.4313725490196078,0.0,0.19607843137254902,"['command', 'command', 'opinion', 'statement', 'yes_no_question', 'statement', 'yes_no_question']"
425,Do their rooms have a good view?,19,"According to the reviews that I have on hand for this location, the views have been described as breathtaking and amazing!  Does that sound good enough?",152,2,hotel,review,"Yes, the Hobsons House does have a good view. Past guests have described it as breathtaking.",92,2,hotel,review,0.040228394768414805,0.13878346375446743,0.4285714285714286,0.05,0.33333333333333337,"['statement', 'opinion', 'opinion', 'opinion', 'opinion', 'command', 'yes_no_question', 'statement', 'command', 'open_question_factual', 'opinion', 'opinion', 'command', 'statement', 'thanking', 'open_question_opinion', 'opinion', 'opinion', 'open_question_opinion']"
426,Is the Acorn Guest House located in a quiet area?,13,"Yes, the location and rooms are both very peaceful and quiet. Can I help you with anything else today?",102,3,hotel,review,"Yes, the Acorn Guest House is located in a quiet area. Past guests have said that they were not disturbed by any loud or disruptive patrons.",140,3,hotel,review,0.054421338078468544,0.16561070881910914,0.17777777777777778,0.046511627906976744,0.17777777777777778,"['command', 'command', 'opinion', 'opinion', 'opinion', 'command', 'statement', 'yes_no_question', 'command', 'complaint', 'command', 'statement', 'statement']"
427,Will there be a good view from the room?,3,"I only have one guest review about the view from Lovell Lodge, and according to this review, the view was amazing and peaceful.",127,1,hotel,review,"Yes, there is a good view from the rooms at Lovell Lodge. Past guests have said that the view was amazing.",106,1,hotel,review,0.13550609854303394,0.21411260462594825,0.5,0.23809523809523808,0.3636363636363636,"['statement', 'statement', 'yes_no_question']"
428,Is the room easily accessible?,11,The location is extremely convenient and it is quite close to the sightseeing destinations that many people enjoy visiting.,123,2,hotel,review,"Yes, Avalon is easily accessible. Past guests have described it as extremely convenient and close to sightseeing destinations.",126,3,hotel,review,0.10862721615727713,0.23763540731439112,0.4864864864864865,0.22857142857142856,0.43243243243243246,"['statement', 'open_question_opinion', 'opinion', 'command', 'opinion', 'opinion', 'statement', 'opinion', 'opinion', 'statement', 'yes_no_question']"
