reference_response_question_start,avg_bleu,avg_meteor,avg_rouge1,avg_rouge2,avg_rougeL,num_samples
will that work or would,0.0,0.0,0.0,0.0,0.0,2
"will that work, or should",0.0,0.0,0.0,0.0,0.0,2
will that work?,0.0,0.0,0.0,0.0,0.0,1
will there be anything else,0.0,0.0,0.0,0.0,0.0,1
will this booking also be,0.0,0.0,0.0,0.0,0.0,1
will this work for you?,0.0,0.0,0.0,0.0,0.0,1
would like me to book,0.0,0.0,0.0,0.0,0.0,1
would like more information about,0.0,0.0,0.0,0.0,0.0,1
would like some more information,0.0,0.0,0.0,0.0,0.0,1
would you be interested in,0.0,0.0017361948396431154,0.0,0.0,0.0,13
would you be interested or,0.0,0.0,0.0,0.0,0.0,1
would you care to book,0.0,0.0,0.0,0.0,0.0,2
would you care to make,0.0,0.0,0.0,0.0,0.0,1
would you like a booking,0.0,0.0,0.0,0.0,0.0,1
would you like a booking?,0.0,0.0,0.0,0.0,0.0,1
would you like a little,0.0,0.0,0.0,0.0,0.0,1
would you like a reservation,0.0,0.0018577648766328015,0.0,0.0,0.0,15
would you like a reservation?,0.0,0.0005078021687384291,0.0,0.0,0.0,38
would you like a room,0.0,0.0,0.0,0.0,0.0,1
would you like a room?,0.0,0.011641306648479576,0.0,0.0,0.0,4
would you like a table,0.0,0.0,0.0,0.0,0.0,2
would you like a table?,0.0,0.0,0.0,0.0,0.0,2
would you like a to,0.0,0.0,0.0,0.0,0.0,2
would you like additional information,0.0,0.0,0.0,0.0,0.0,1
would you like additional information?,0.0,0.0,0.0,0.0,0.0,1
would you like another option?,0.0,0.0,0.0,0.0,0.0,2
would you like any further,0.0,0.0,0.0,0.0,0.0,2
would you like any more,0.0,0.0,0.0,0.0,0.0,5
would you like any other,0.0,0.0038754347572009505,0.0,0.0,0.0,11
would you like anything else?,0.0,0.0,0.0,0.0,0.0,1
would you like assistance in,0.0,0.0,0.0,0.0,0.0,1
would you like assistance with,0.0,0.0,0.0,0.0,0.0,1
would you like for me,0.0,0.0029090909090909098,0.0,0.0,0.0,8
would you like further information?,0.0,0.0,0.0,0.0,0.0,2
would you like help booking,0.0,0.0,0.0,0.0,0.0,7
would you like help booking?,0.0,0.0,0.0,0.0,0.0,1
would you like help in,0.0,0.0,0.0,0.0,0.0,8
would you like help making,0.0,0.0,0.0,0.0,0.0,1
would you like help with,0.0,0.007355499785262809,0.0,0.0,0.0,10
would you like information about,0.0,0.0,0.0,0.0,0.0,1
would you like information on,0.0,0.0059405940594059415,0.0,0.0,0.0,4
would you like me check,0.0,0.0,0.0,0.0,0.0,1
would you like me find,0.0,0.0,0.0,0.0,0.0,1
would you like me to,0.0,0.0013313759083136473,0.0,0.0,0.0,800
would you like more info,0.0,0.0,0.0,0.0,0.0,1
would you like more information,0.0,0.000689621209363672,0.0,0.0,0.0,50
would you like more information?,0.0,0.0,0.0,0.0,0.0,26
would you like more infromation?,0.0,0.0,0.0,0.0,0.0,1
would you like reservations?,0.0,0.0,0.0,0.0,0.0,2
would you like some information,0.0,0.0,0.0,0.0,0.0,1
would you like some more,0.0,0.0,0.0,0.0,0.0,30
would you like some other,0.0,0.0,0.0,0.0,0.0,2
would you like some place,0.0,0.0,0.0,0.0,0.0,1
would you like the address,0.0,0.0,0.0,0.0,0.0,1
would you like the address?,0.0,0.0,0.0,0.0,0.0,1
would you like the contact,0.0,0.0,0.0,0.0,0.0,1
would you like the phone,0.0,0.0,0.0,0.0,0.0,7
would you like the table?,0.0,0.0,0.0,0.0,0.0,1
would you like their address,0.0,0.0,0.0,0.0,0.0,1
would you like their telephone,0.0,0.0,0.0,0.0,0.0,1
would you like to any,0.0,0.0,0.0,0.0,0.0,1
would you like to book,0.0,0.002057877012340822,0.0,0.0,0.0,283
would you like to book?,0.0,0.0,0.0,0.0,0.0,5
would you like to change,0.0,0.0,0.0,0.0,0.0,3
would you like to check,0.0,0.0012440873452990349,0.0,0.0,0.0,11
would you like to choose,0.0,0.0,0.0,0.0,0.0,1
would you like to contact,0.0,0.0,0.0,0.0,0.0,1
would you like to continue,0.0,0.0,0.0,0.0,0.0,3
would you like to do,0.0,0.0,0.0,0.0,0.0,2
would you like to eat,0.0,0.0,0.0,0.0,0.0,1
would you like to explore,0.0,0.003016422681553314,0.0,0.0,0.0,13
would you like to find,0.0,0.0,0.0,0.0,0.0,13
would you like to get,0.0,0.0,0.0,0.0,0.0,3
would you like to give,0.0,0.0023921588138713376,0.0,0.0,0.0,18
would you like to go,0.0,0.008091024020227563,0.0,0.0,0.0,3
would you like to hear,0.0,0.0,0.0,0.0,0.0,2
would you like to keep,0.0,0.0,0.0,0.0,0.0,1
would you like to know,0.0,0.0008580780472997991,0.0,0.0,0.0,766
would you like to look,0.0,0.001554475247813837,0.0,0.0,0.0,45
would you like to make,0.0,0.001625815696170118,0.0,0.0,0.0,174
would you like to me,0.0,0.004752475247524753,0.0,0.0,0.0,5
would you like to more,0.0,0.0,0.0,0.0,0.0,1
would you like to now,0.0,0.0,0.0,0.0,0.0,1
would you like to onow,0.0,0.0,0.0,0.0,0.0,1
would you like to proceed,0.0,0.0,0.0,0.0,0.0,4
would you like to reservation?,0.0,0.0,0.0,0.0,0.0,1
would you like to reserve,0.0,0.0036208727244815726,0.0,0.0,0.0,12
would you like to rethink,0.0,0.0,0.0,0.0,0.0,1
would you like to search,0.0,0.0,0.0,0.0,0.0,1
would you like to see,0.0,0.0,0.0,0.0,0.0,1
would you like to stay,0.0,0.004065514415952058,0.0,0.0,0.0,11
would you like to take,0.0,0.00891089108910891,0.0,0.0,0.0,2
would you like to to,0.0,0.0,0.0,0.0,0.0,2
would you like to try,0.0,0.0011425683819695873,0.0,0.0,0.0,36
would you like your reservation,0.0,0.0,0.0,0.0,0.0,1
would you more information about,0.0,0.0,0.0,0.0,0.0,1
would you prefer to book,0.0,0.0,0.0,0.0,0.0,1
would you still be interested,0.0,0.0,0.0,0.0,0.0,7
would you still like a,0.0,0.0,0.0,0.0,0.0,3
would you still like me,0.0,0.0,0.0,0.0,0.0,4
would you still like to,0.0,0.004688727062237626,0.0,0.0,0.0,17
wouldyou like to know more,0.0,0.0,0.0,0.0,0.0,1
wouls you like to make,0.0,0.0,0.0,0.0,0.0,1
"yes, all of the reviews",0.0,0.0,0.0,0.0,0.0,1
"yes, bangkok city serves alcoholic",0.0,0.0,0.0,0.0,0.0,1
"yes, guests have good things",0.0,0.0,0.0,0.0,0.0,1
"yes, it appears that sala",0.0,0.0,0.0,0.0,0.0,1
"yes, the acorn guest house",0.0,0.0,0.0,0.0,0.0,1
"yes, the gandhi serves alcohol",0.0,0.0,0.0,0.0,0.0,1
"yes, the rooms are said",0.0,0.0,0.0,0.0,0.0,1
"yes, they serve alcoholic beverages",0.0,0.0,0.0,0.0,0.0,1
you interested?,0.0,0.0,0.0,0.0,0.0,1
